sampleID,read_count,"Bacteria,",p_NA,g_Actinobaculum,g_Actinomyces,g_Arcanobacterium,g_Mobiluncus,g_Varibaculum,g_Alloscardovia,g_Bifidobacterium,g_Gardnerella,Gardnerella_vaginalis,f_Corynebacteriaceae,g_Corynebacterium,g_Lawsonella,g_Rhodococcus,o_Micrococcales,g_Brevibacterium,g_Cellulomonas,g_Dermabacter,g_Leifsonia,g_Zimmermannella,g_Micrococcus,g_Rothia,g_Propionibacterium,g_Atopobium,Atopobium_deltae,Atopobium_minutum,Atopobium_parvulum,Atopobium_vaginae,g_Collinsella,g_Olsenella,g_Senegalimassilia,g_Slackia,o_Bacteroidales,g_Bacteroides,f_Porphyromonadaceae,g_Parabacteroides,g_Porphyromonas,g_Alloprevotella,g_Prevotella,Prevotella_amnii,Prevotella_bivia,Prevotella_buccalis,Prevotella_disiens,Prevotella_nigrescens,Prevotella_timonensis,Prevotella_bergensis,Prevotella_corporis,Prevotella_salivae,Prevotella_denticola,Prevotella_histicola,Prevotella_melaninogenica,f_Prevotellaceae,g_Alistipes,g_Mucinivorans,f_Rikenellaceae,g_Bergeyella,c_Chloroplast,g_Mucispirillum,g_Bacillus,g_Gemella,g_Listeria,g_Staphylococcus,o_Lactobacillales,g_Aerococcus,g_Eremococcus,g_Facklamia,g_Globicatella,g_Granulicatella,g_Enterococcus,g_Lactobacillus,Lactobacillus_coleohominis,Lactobacillus_crispatus,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Lactobacillus_reuteri,g_Lactococcus,g_Streptococcus,o_Clostridiales,f_Family_XI,g_Anaerococcus,g_Ezakiella,g_Finegoldia,g_Gallicola,g_Helcococcus,g_Murdochiella,g_Parvimonas,g_Peptoniphilus,f_Family_XIII,f_Lachnospiraceae,g_Anaerostipes,g_Blautia,g_Coprococcus,g_Dorea,g_Fusicatenibacter,g_Howardella,g_Johnsonella,g_Lachnoclostridium,g_Lachnospira,g_Moryella,g_Oribacterium,g_Roseburia,g_Peptococcus,f_Peptostreptococcaceae,g_Filifactor,g_Intestinibacter,g_Peptoclostridium,g_Peptostreptococcus,f_Ruminococcaceae,g_Anaerotruncus,g_Butyricicoccus,g_Faecalibacterium,g_Fastidiosipila,g_Oscillibacter,g_Ruminiclostridium,g_Ruminococcus,g_Subdoligranulum,g_Bulleidia,f_Erysipelotrichaceae,g_Solobacterium,f_Veillonellaceae,g_Dialister,g_Megasphaera,g_Negativicoccus,g_Veillonella,g_Fusobacterium,g_Leptotrichia,g_Sneathia,Sneathia_amnii,Sneathia_sanguinegens,g_Bosea,g_Methylobacterium,f_Rhodospirillaceae,c_Betaproteobacteria,g_Parasutterella,g_Sutterella,g_Lautropia,g_Massilia,f_Neisseriaceae,g_Neisseria,g_Desulfovibrio,g_Campylobacter,g_Succinivibrio,f_Enterobacteriaceae,g_Enterobacter,g_Escherichia/Shigella,g_Salmonella,g_Actinobacillus,g_Aggregatibacter,g_Haemophilus,g_Acinetobacter,g_Enhydrobacter,g_Psychrobacter,g_Pseudomonas,g_Jonquetella,g_Mycoplasma,g_Ureaplasma,g_Akkermansia,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
subject_11_day31,6134,0,0,0,0,0,0,0,0,0,0,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,2122,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,241,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0004967990096336148,0.007860359400994913,0.05167133113620305,0.006117212795417038,0.06699372956218937,0.2650052042431272,0.5094731828704986,0.033048268848853556,0.014064861246487113,0.008666800693484149,0.0015618599590189435,0.03358153945508242,0.052058580248584625,IV-B,0.5094731828704986,IV-B
subject_11_day32,6530,0,0,0,0,0,0,0,0,0,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,2,0,2793,0,0,0,64,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,148,424,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0003941921482264994,0.0063664976583782135,0.040742656285311055,0.004361981016434226,0.05276742093889664,0.24538399373983083,0.4158075500115932,0.03245973955986724,0.011277415651493101,0.007131162010562868,0.001436066922476133,0.02757162222297385,0.04160980652463748,IV-B,0.4158075500115932,IV-B
subject_11_day33,10700,0,0,0,0,0,0,0,0,0,0,5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,3355,0,0,0,103,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,252,332,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0.000509866394403799,0.008120530832368857,0.05302377645510375,0.006717099365290552,0.06919000790338949,0.27385761310101253,0.5360570857595908,0.03716104803060851,0.014607291550458102,0.008774755477587914,0.0019304602828192597,0.03471955706266856,0.05367140517812195,IV-B,0.5360570857595908,IV-B
subject_11_day34,19245,0,0,0,0,0,0,0,0,0,0,7861,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,5,0,0,0,0,0,0,8730,0,0,0,651,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,48,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,527,508,0,0,0,0,0,0,0,0,0,0,0,0,113,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0.0003890262720406281,0.006222430824155674,0.04028798419262101,0.004082058064361068,0.051491770866061264,0.22742269692928854,0.38457439508719865,0.030563599214529526,0.011189994672505229,0.006796392609604203,0.0014242214334799514,0.026727077052095465,0.0407995439896308,IV-B,0.38457439508719865,IV-B
subject_11_day35,17439,0,0,0,0,0,0,0,0,0,0,11174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,3815,0,0,0,428,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,26,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,370,712,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0005572870693517578,0.008735289799153488,0.05783045688109574,0.006392822593076438,0.0741545576632261,0.27799376544448684,0.5761783673422309,0.03634823501412983,0.01572494798064654,0.009537502192677662,0.0017851609878826468,0.03683861586499549,0.057489982362231136,IV-B,0.5761783673422309,IV-B
subject_11_day36,13626,0,0,0,0,0,0,0,0,0,0,8504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,2994,0,0,0,88,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,8,0,0,0,126,0,0,0,0,0,0,37,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,288,777,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.0005805731232119117,0.009215365346232282,0.058178585526111375,0.01180615753275951,0.0804409900992825,0.28645312705859677,0.5933808932754602,0.03800336880767537,0.015882477174657697,0.009759463043820958,0.0018234921103813093,0.03850232972957492,0.06015768703744927,IV-B,0.5933808932754602,IV-B
subject_11_day37,14530,0,0,0,0,0,0,0,0,0,0,7601,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,0,0,0,0,0,0,0,0,24,0,640,0,0,0,0,0,170,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,175,0,0,0,8,0,64,0,0,0,2297,0,0,0,10,0,0,26,21,17,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,382,2062,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,2,0,0,0,29,4,0,0,0,0,0,0,0,0.00112793922778291,0.0204190843097679,0.07042228385338445,0.1486430471876374,0.2510778040705757,0.3431786440958001,0.7763604992448977,0.07616976487341605,0.021097765638914245,0.013182630369344663,0.0025708178119942023,0.0766444480217388,0.12670756515871973,IV-B,0.7763604992448977,IV-B
subject_11_day38,12747,0,0,0,0,0,0,0,0,0,0,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,124,0,0,0,0,0,139,0,0,0,4523,0,0,0,12,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,130,0,0.0017680229412364952,0.03191109943445082,0.0790870739643455,0.3572509658356317,0.4813452994177863,0.2809328975323412,0.650153073385883,0.09035683214896831,0.0246309002837056,0.015145202850336228,0.0023295805513863146,0.1107438758831958,0.1958214010335948,IV-B,0.650153073385883,IV-B
subject_11_day39,8738,0,0,0,0,0,0,0,0,0,0,5758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,724,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,35,0,0,0,1048,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0009886148481039563,0.016624217148473435,0.0686005574716508,0.09865544255687671,0.1833235178375384,0.2958111590844642,0.6569197867537326,0.054045549992072665,0.019396539556694743,0.012006135967673654,0.002072732616086555,0.06137046273189142,0.10183355972044433,IV-B,0.6569197867537326,IV-B
subject_11_day4,14116,0,0,0,0,0,0,0,0,0,0,6758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,4972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,7,0,0,0,1449,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0008172798348882821,0.014425155049799038,0.05626337958076848,0.08974523759188119,0.1616787232822439,0.2776886962883097,0.5313832837999118,0.051693008408286285,0.016091680193554236,0.009996099405845138,0.0016480206141733678,0.054569804504369296,0.08930316083626268,IV-B,0.5313832837999118,IV-B
